id,cpu,memory,demand_time,start_time,end_time,is_run,bid,reserve
0,16,15,4,-1,-1,-1,56.25,-1
1,15,14,4,-1,-1,-1,57.91,-1
2,16,14,4,-1,-1,-1,66.49,-1
3,14,14,4,-1,-1,-1,50.96,-1
4,13,15,4,-1,-1,-1,52.8,-1
5,14,12,4,-1,-1,-1,57.77,-1
6,11,11,3,-1,-1,-1,44.88,-1
7,13,14,4,-1,-1,-1,50.29,-1
8,11,16,4,-1,-1,-1,47.38,-1
9,11,16,4,-1,-1,-1,50.98,-1
10,6,5,2,-1,-1,-1,24.53,-1
11,13,16,4,-1,-1,-1,52.55,-1
12,16,16,4,-1,-1,-1,69.12,-1
13,16,16,4,-1,-1,-1,67.84,-1
14,16,14,4,-1,-1,-1,65.27,-1
15,48,29,12,-1,-1,-1,150.42,-1
16,16,15,4,-1,-1,-1,68.12,-1
17,16,12,4,-1,-1,-1,63.8,-1
18,14,13,4,-1,-1,-1,55.59,-1
19,15,14,4,-1,-1,-1,58.5,-1
20,3,6,2,-1,-1,-1,16.34,-1
21,16,15,4,-1,-1,-1,66.25,-1
22,16,14,4,-1,-1,-1,56.12,-1
23,15,12,4,-1,-1,-1,49.95,-1
24,15,14,4,-1,-1,-1,59.67,-1
25,14,15,4,-1,-1,-1,62.68,-1
26,14,15,4,-1,-1,-1,58.08,-1
27,14,13,4,-1,-1,-1,49.59,-1
28,14,16,4,-1,-1,-1,60.18,-1
29,14,14,4,-1,-1,-1,56.0,-1
30,6,6,2,-1,-1,-1,25.68,-1
31,12,12,3,-1,-1,-1,50.4,-1
32,11,13,4,-1,-1,-1,42.3,-1
33,15,11,4,-1,-1,-1,55.08,-1
34,16,15,4,-1,-1,-1,68.12,-1
35,12,11,3,-1,-1,-1,45.1,-1
36,12,14,4,-1,-1,-1,49.98,-1
37,16,11,4,-1,-1,-1,57.06,-1
38,11,16,4,-1,-1,-1,48.92,-1
39,15,11,4,-1,-1,-1,54.54,-1
40,2,3,1,-1,-1,-1,10.26,-1
41,16,15,4,-1,-1,-1,59.38,-1
42,15,13,4,-1,-1,-1,61.56,-1
43,16,14,4,-1,-1,-1,65.88,-1
44,15,15,4,-1,-1,-1,63.6,-1
45,18,10,5,-1,-1,-1,64.8,-1
46,11,15,4,-1,-1,-1,52.5,-1
47,11,12,3,-1,-1,-1,45.95,-1
48,13,16,4,-1,-1,-1,57.63,-1
49,12,15,4,-1,-1,-1,55.12,-1
50,2,2,1,-1,-1,-1,7.84,-1
51,12,14,4,-1,-1,-1,53.55,-1
52,14,11,4,-1,-1,-1,51.5,-1
53,15,15,4,-1,-1,-1,60.6,-1
54,12,14,4,-1,-1,-1,54.06,-1
55,11,15,4,-1,-1,-1,49.5,-1
56,16,16,4,-1,-1,-1,59.52,-1
57,11,15,4,-1,-1,-1,52.0,-1
58,11,12,3,-1,-1,-1,45.95,-1
59,11,11,3,-1,-1,-1,47.52,-1
60,3,6,2,-1,-1,-1,17.32,-1
61,11,12,3,-1,-1,-1,49.6,-1
62,16,12,4,-1,-1,-1,53.94,-1
63,16,14,4,-1,-1,-1,62.83,-1
64,11,14,4,-1,-1,-1,52.38,-1
65,13,16,4,-1,-1,-1,59.89,-1
66,13,16,4,-1,-1,-1,53.11,-1
67,13,12,4,-1,-1,-1,54.54,-1
68,14,14,4,-1,-1,-1,60.48,-1
69,16,12,4,-1,-1,-1,62.06,-1
70,6,4,2,-1,-1,-1,21.21,-1
71,16,11,4,-1,-1,-1,53.11,-1
72,14,15,4,-1,-1,-1,61.53,-1
73,16,14,4,-1,-1,-1,62.83,-1
74,14,11,4,-1,-1,-1,48.41,-1
75,33,23,9,-1,-1,-1,109.98,-1
76,16,15,4,-1,-1,-1,66.25,-1
77,11,13,4,-1,-1,-1,47.0,-1
78,12,13,4,-1,-1,-1,49.5,-1
79,14,16,4,-1,-1,-1,64.9,-1
80,1,4,1,-1,-1,-1,9.01,-1
81,15,13,4,-1,-1,-1,59.85,-1
82,13,15,4,-1,-1,-1,57.75,-1
83,12,16,4,-1,-1,-1,56.7,-1
84,12,15,4,-1,-1,-1,56.7,-1
85,14,15,4,-1,-1,-1,56.92,-1
86,14,12,4,-1,-1,-1,49.82,-1
87,14,14,4,-1,-1,-1,56.56,-1
88,14,13,4,-1,-1,-1,56.68,-1
89,16,14,4,-1,-1,-1,67.1,-1
90,7,8,2,-1,-1,-1,28.61,-1
91,11,16,4,-1,-1,-1,53.56,-1
92,15,13,4,-1,-1,-1,57.0,-1
93,16,15,4,-1,-1,-1,60.62,-1
94,16,12,4,-1,-1,-1,59.74,-1
95,12,13,4,-1,-1,-1,54.45,-1
96,14,14,4,-1,-1,-1,50.4,-1
97,15,16,4,-1,-1,-1,62.12,-1
98,16,16,4,-1,-1,-1,62.72,-1
99,15,14,4,-1,-1,-1,53.23,-1
100,4,6,2,-1,-1,-1,20.52,-1
101,13,12,4,-1,-1,-1,48.48,-1
102,14,15,4,-1,-1,-1,55.2,-1
103,14,11,4,-1,-1,-1,48.41,-1
104,14,16,4,-1,-1,-1,53.69,-1
105,15,44,11,-1,-1,-1,102.47,-1
106,11,16,4,-1,-1,-1,47.38,-1
