id,cpu,memory,demand_time,start_time,end_time,is_run,bid,reserve
0,12,14,4,-1,-1,-1,48.96,-1
1,16,11,4,-1,-1,-1,55.37,-1
2,13,12,4,-1,-1,-1,55.55,-1
3,11,15,4,-1,-1,-1,49.0,-1
4,15,15,4,-1,-1,-1,54.6,-1
5,11,15,4,-1,-1,-1,55.0,-1
6,16,11,4,-1,-1,-1,58.2,-1
7,12,16,4,-1,-1,-1,54.54,-1
8,14,13,4,-1,-1,-1,52.87,-1
9,11,14,4,-1,-1,-1,48.98,-1
10,5,7,2,-1,-1,-1,24.84,-1
11,11,15,4,-1,-1,-1,50.5,-1
12,11,11,3,-1,-1,-1,44.0,-1
13,11,16,4,-1,-1,-1,55.62,-1
14,14,16,4,-1,-1,-1,53.69,-1
15,1,16,4,-1,-1,-1,27.3,-1
16,14,16,4,-1,-1,-1,60.18,-1
17,13,13,4,-1,-1,-1,50.44,-1
18,16,16,4,-1,-1,-1,62.72,-1
19,14,11,4,-1,-1,-1,48.41,-1
20,7,4,2,-1,-1,-1,22.56,-1
21,16,12,4,-1,-1,-1,58.0,-1
22,16,13,4,-1,-1,-1,54.15,-1
23,14,11,4,-1,-1,-1,50.47,-1
24,16,16,4,-1,-1,-1,67.2,-1
25,16,11,4,-1,-1,-1,59.33,-1
26,13,15,4,-1,-1,-1,58.3,-1
27,16,16,4,-1,-1,-1,69.76,-1
28,13,13,4,-1,-1,-1,56.16,-1
29,14,11,4,-1,-1,-1,52.53,-1
30,8,8,2,-1,-1,-1,31.36,-1
31,14,12,4,-1,-1,-1,56.18,-1
32,11,14,4,-1,-1,-1,48.02,-1
33,13,14,4,-1,-1,-1,51.89,-1
34,15,12,4,-1,-1,-1,59.94,-1
35,13,13,4,-1,-1,-1,56.16,-1
36,16,11,4,-1,-1,-1,60.46,-1
37,16,16,4,-1,-1,-1,58.88,-1
38,13,13,4,-1,-1,-1,52.0,-1
39,11,12,3,-1,-1,-1,44.59,-1
40,3,6,2,-1,-1,-1,17.32,-1
41,11,12,3,-1,-1,-1,45.05,-1
42,11,11,3,-1,-1,-1,43.56,-1
43,16,15,4,-1,-1,-1,57.5,-1
44,14,12,4,-1,-1,-1,57.24,-1
45,3,16,4,-1,-1,-1,32.76,-1
46,15,11,4,-1,-1,-1,56.16,-1
47,13,14,4,-1,-1,-1,53.5,-1
48,15,15,4,-1,-1,-1,55.2,-1
49,14,13,4,-1,-1,-1,57.77,-1
50,8,6,2,-1,-1,-1,27.84,-1
51,15,15,4,-1,-1,-1,62.4,-1
52,14,14,4,-1,-1,-1,55.44,-1
53,16,13,4,-1,-1,-1,63.07,-1
54,11,13,4,-1,-1,-1,46.06,-1
55,12,13,4,-1,-1,-1,45.54,-1
56,14,12,4,-1,-1,-1,48.76,-1
57,16,14,4,-1,-1,-1,59.17,-1
58,16,11,4,-1,-1,-1,51.41,-1
59,14,12,4,-1,-1,-1,53.0,-1
60,4,8,2,-1,-1,-1,22.22,-1
61,14,14,4,-1,-1,-1,58.8,-1
62,15,13,4,-1,-1,-1,62.13,-1
63,15,14,4,-1,-1,-1,63.18,-1
64,16,14,4,-1,-1,-1,61.0,-1
65,14,14,4,-1,-1,-1,61.04,-1
66,13,12,4,-1,-1,-1,54.54,-1
67,15,12,4,-1,-1,-1,49.95,-1
68,11,14,4,-1,-1,-1,48.98,-1
69,15,11,4,-1,-1,-1,54.54,-1
70,2,8,2,-1,-1,-1,15.64,-1
71,13,12,4,-1,-1,-1,53.53,-1
72,14,15,4,-1,-1,-1,62.68,-1
73,13,14,4,-1,-1,-1,56.71,-1
74,12,15,4,-1,-1,-1,56.18,-1
75,22,31,8,-1,-1,-1,95.41,-1
76,11,14,4,-1,-1,-1,51.9,-1
77,13,15,4,-1,-1,-1,51.7,-1
78,13,14,4,-1,-1,-1,49.76,-1
79,13,11,4,-1,-1,-1,46.06,-1
80,8,8,2,-1,-1,-1,34.88,-1
81,16,11,4,-1,-1,-1,51.41,-1
82,16,16,4,-1,-1,-1,61.44,-1
83,13,11,4,-1,-1,-1,51.94,-1
84,16,12,4,-1,-1,-1,52.2,-1
85,14,13,4,-1,-1,-1,54.5,-1
86,15,15,4,-1,-1,-1,55.2,-1
87,13,11,4,-1,-1,-1,46.06,-1
88,15,11,4,-1,-1,-1,52.92,-1
89,11,14,4,-1,-1,-1,44.62,-1
90,2,8,2,-1,-1,-1,18.02,-1
91,11,11,3,-1,-1,-1,43.56,-1
92,12,13,4,-1,-1,-1,53.96,-1
93,13,16,4,-1,-1,-1,61.02,-1
94,11,11,3,-1,-1,-1,40.04,-1
95,13,12,4,-1,-1,-1,48.98,-1
96,15,14,4,-1,-1,-1,53.82,-1
97,12,11,3,-1,-1,-1,51.15,-1
98,12,12,3,-1,-1,-1,49.92,-1
99,11,13,4,-1,-1,-1,45.59,-1
100,8,2,2,-1,-1,-1,23.46,-1
101,12,12,3,-1,-1,-1,44.64,-1
102,12,16,4,-1,-1,-1,56.7,-1
103,13,12,4,-1,-1,-1,51.51,-1
104,11,15,4,-1,-1,-1,50.5,-1
105,31,21,8,-1,-1,-1,107.91,-1
106,12,16,4,-1,-1,-1,56.16,-1
107,12,16,4,-1,-1,-1,56.7,-1
108,15,15,4,-1,-1,-1,55.8,-1
109,14,14,4,-1,-1,-1,59.92,-1
110,8,3,2,-1,-1,-1,23.77,-1
111,14,16,4,-1,-1,-1,57.82,-1
112,13,16,4,-1,-1,-1,57.06,-1
113,15,11,4,-1,-1,-1,55.62,-1
114,12,11,3,-1,-1,-1,50.69,-1
115,13,13,4,-1,-1,-1,52.0,-1
116,15,14,4,-1,-1,-1,63.77,-1
117,11,16,4,-1,-1,-1,52.02,-1
118,16,11,4,-1,-1,-1,59.33,-1
119,14,12,4,-1,-1,-1,51.94,-1
120,4,3,1,-1,-1,-1,14.64,-1
121,16,13,4,-1,-1,-1,58.91,-1
122,14,11,4,-1,-1,-1,55.11,-1
123,14,16,4,-1,-1,-1,59.0,-1
124,16,11,4,-1,-1,-1,51.41,-1
125,14,15,4,-1,-1,-1,62.68,-1
126,11,13,4,-1,-1,-1,44.18,-1
127,15,14,4,-1,-1,-1,60.26,-1
128,11,16,4,-1,-1,-1,56.14,-1
129,16,14,4,-1,-1,-1,67.1,-1
130,5,2,2,-1,-1,-1,14.42,-1
131,13,13,4,-1,-1,-1,54.6,-1
132,14,16,4,-1,-1,-1,54.87,-1
133,13,12,4,-1,-1,-1,46.46,-1
134,13,14,4,-1,-1,-1,56.71,-1
135,30,38,10,-1,-1,-1,125.4,-1
136,14,11,4,-1,-1,-1,46.87,-1
137,11,15,4,-1,-1,-1,54.5,-1
138,14,11,4,-1,-1,-1,55.62,-1
139,14,12,4,-1,-1,-1,55.12,-1
140,6,2,2,-1,-1,-1,18.36,-1
