id,cpu,memory,demand_time,start_time,end_time,is_run,bid,reserve
0,5,14,4,-1,-1,-1,34.51,-1
1,3,15,4,-1,-1,-1,31.8,-1
2,4,16,4,-1,-1,-1,30.94,-1
3,4,13,4,-1,-1,-1,27.14,-1
4,3,15,4,-1,-1,-1,27.0,-1
5,1,13,4,-1,-1,-1,23.76,-1
6,1,15,4,-1,-1,-1,27.5,-1
7,3,16,4,-1,-1,-1,33.08,-1
8,5,12,3,-1,-1,-1,27.76,-1
9,8,11,3,-1,-1,-1,37.23,-1
10,1,4,1,-1,-1,-1,9.01,-1
11,5,12,3,-1,-1,-1,27.45,-1
12,3,11,3,-1,-1,-1,23.04,-1
13,5,14,4,-1,-1,-1,33.5,-1
14,6,15,4,-1,-1,-1,39.38,-1
15,6,14,4,-1,-1,-1,34.2,-1
16,1,11,3,-1,-1,-1,20.71,-1
17,6,15,4,-1,-1,-1,37.88,-1
18,7,11,3,-1,-1,-1,30.94,-1
19,5,14,4,-1,-1,-1,36.52,-1
20,1,4,1,-1,-1,-1,7.99,-1
21,4,11,3,-1,-1,-1,27.3,-1
22,4,15,4,-1,-1,-1,30.88,-1
23,7,15,4,-1,-1,-1,36.8,-1
24,8,11,3,-1,-1,-1,38.33,-1
25,4,12,3,-1,-1,-1,25.48,-1
26,5,15,4,-1,-1,-1,31.85,-1
27,7,16,4,-1,-1,-1,40.25,-1
28,4,14,4,-1,-1,-1,28.83,-1
29,7,11,3,-1,-1,-1,31.28,-1
30,4,8,2,-1,-1,-1,22.44,-1
31,4,15,4,-1,-1,-1,35.1,-1
32,4,11,3,-1,-1,-1,27.83,-1
33,1,15,4,-1,-1,-1,27.25,-1
34,4,12,3,-1,-1,-1,29.68,-1
35,6,13,4,-1,-1,-1,36.91,-1
36,1,11,3,-1,-1,-1,19.38,-1
37,2,16,4,-1,-1,-1,29.29,-1
38,6,16,4,-1,-1,-1,42.9,-1
39,4,12,3,-1,-1,-1,29.4,-1
40,3,1,1,-1,-1,-1,8.73,-1
41,5,16,4,-1,-1,-1,37.59,-1
42,2,11,3,-1,-1,-1,22.14,-1
43,2,13,4,-1,-1,-1,26.95,-1
44,5,15,4,-1,-1,-1,33.6,-1
45,1,13,4,-1,-1,-1,20.46,-1
46,2,15,4,-1,-1,-1,27.23,-1
47,4,12,3,-1,-1,-1,29.12,-1
48,8,16,4,-1,-1,-1,43.12,-1
49,2,15,4,-1,-1,-1,26.4,-1
50,4,2,1,-1,-1,-1,14.17,-1
51,7,11,3,-1,-1,-1,33.66,-1
52,7,14,4,-1,-1,-1,40.81,-1
53,2,16,4,-1,-1,-1,28.13,-1
54,7,15,4,-1,-1,-1,37.6,-1
55,2,14,4,-1,-1,-1,26.0,-1
56,4,12,3,-1,-1,-1,26.6,-1
57,8,14,4,-1,-1,-1,38.95,-1
58,2,11,3,-1,-1,-1,19.35,-1
59,5,12,3,-1,-1,-1,31.72,-1
60,4,7,2,-1,-1,-1,19.88,-1
61,5,13,4,-1,-1,-1,34.56,-1
62,6,16,4,-1,-1,-1,41.34,-1
63,2,13,4,-1,-1,-1,26.95,-1
64,8,12,3,-1,-1,-1,39.9,-1
65,8,12,3,-1,-1,-1,38.0,-1
66,7,12,3,-1,-1,-1,37.63,-1
67,4,14,4,-1,-1,-1,28.21,-1
68,7,11,3,-1,-1,-1,33.32,-1
69,6,13,4,-1,-1,-1,36.91,-1
70,4,2,1,-1,-1,-1,13.13,-1
71,5,14,4,-1,-1,-1,30.82,-1
72,8,12,3,-1,-1,-1,36.1,-1
73,5,16,4,-1,-1,-1,38.69,-1
74,7,13,4,-1,-1,-1,33.3,-1
75,5,16,4,-1,-1,-1,38.33,-1
76,7,14,4,-1,-1,-1,41.58,-1
77,4,13,4,-1,-1,-1,28.61,-1
78,2,16,4,-1,-1,-1,31.03,-1
79,2,13,4,-1,-1,-1,23.77,-1
80,3,5,2,-1,-1,-1,15.15,-1
81,6,11,3,-1,-1,-1,29.92,-1
82,8,14,4,-1,-1,-1,37.31,-1
83,2,16,4,-1,-1,-1,30.16,-1
84,2,13,4,-1,-1,-1,23.52,-1
85,6,11,3,-1,-1,-1,29.92,-1
86,5,11,3,-1,-1,-1,26.1,-1
87,8,13,4,-1,-1,-1,42.66,-1
88,4,15,4,-1,-1,-1,30.23,-1
89,3,15,4,-1,-1,-1,28.8,-1
90,2,3,1,-1,-1,-1,9.03,-1
91,2,13,4,-1,-1,-1,22.79,-1
92,6,16,4,-1,-1,-1,40.95,-1
93,5,11,3,-1,-1,-1,27.55,-1
94,3,13,4,-1,-1,-1,27.27,-1
95,3,11,3,-1,-1,-1,24.48,-1
96,8,12,3,-1,-1,-1,38.0,-1
97,4,12,3,-1,-1,-1,27.16,-1
98,4,16,4,-1,-1,-1,33.32,-1
99,8,11,3,-1,-1,-1,36.5,-1
100,3,3,1,-1,-1,-1,11.04,-1
101,1,14,4,-1,-1,-1,23.03,-1
102,3,13,4,-1,-1,-1,26.46,-1
103,1,11,3,-1,-1,-1,18.43,-1
104,5,15,4,-1,-1,-1,37.45,-1
105,3,13,4,-1,-1,-1,28.62,-1
106,8,14,4,-1,-1,-1,37.31,-1
107,1,13,4,-1,-1,-1,20.46,-1
108,5,13,4,-1,-1,-1,29.12,-1
109,7,11,3,-1,-1,-1,36.04,-1
110,2,5,2,-1,-1,-1,13.63,-1
111,5,12,3,-1,-1,-1,33.25,-1
112,3,13,4,-1,-1,-1,27.27,-1
113,7,15,4,-1,-1,-1,36.4,-1
114,2,11,3,-1,-1,-1,20.21,-1
115,5,14,4,-1,-1,-1,30.82,-1
116,5,15,4,-1,-1,-1,32.9,-1
117,7,12,3,-1,-1,-1,37.27,-1
118,4,16,4,-1,-1,-1,36.72,-1
119,5,12,3,-1,-1,-1,32.94,-1
120,4,8,2,-1,-1,-1,22.22,-1
121,3,11,3,-1,-1,-1,21.6,-1
122,2,15,4,-1,-1,-1,25.03,-1
123,3,14,4,-1,-1,-1,26.22,-1
124,8,14,4,-1,-1,-1,43.05,-1
125,2,16,4,-1,-1,-1,29.0,-1
126,8,15,4,-1,-1,-1,39.1,-1
127,1,12,3,-1,-1,-1,19.88,-1
128,5,13,4,-1,-1,-1,34.88,-1
129,6,14,4,-1,-1,-1,37.8,-1
130,2,7,2,-1,-1,-1,15.96,-1
131,6,13,4,-1,-1,-1,35.19,-1
132,3,12,3,-1,-1,-1,24.48,-1
133,4,14,4,-1,-1,-1,29.45,-1
134,4,14,4,-1,-1,-1,32.86,-1
135,5,14,4,-1,-1,-1,36.52,-1
136,7,12,3,-1,-1,-1,32.3,-1
137,6,14,4,-1,-1,-1,33.48,-1
138,4,14,4,-1,-1,-1,32.86,-1
139,2,13,4,-1,-1,-1,25.48,-1
140,4,1,1,-1,-1,-1,11.38,-1
141,8,12,3,-1,-1,-1,39.9,-1
142,3,16,4,-1,-1,-1,28.67,-1
143,6,12,3,-1,-1,-1,34.98,-1
144,6,15,4,-1,-1,-1,39.0,-1
145,8,12,3,-1,-1,-1,41.42,-1
146,3,14,4,-1,-1,-1,26.51,-1
147,5,11,3,-1,-1,-1,26.97,-1
148,7,12,3,-1,-1,-1,37.98,-1
149,3,15,4,-1,-1,-1,30.9,-1
150,2,3,1,-1,-1,-1,10.07,-1
151,7,15,4,-1,-1,-1,42.0,-1
152,6,15,4,-1,-1,-1,39.75,-1
153,7,14,4,-1,-1,-1,36.57,-1
154,3,16,4,-1,-1,-1,30.24,-1
155,6,12,3,-1,-1,-1,30.03,-1
156,6,12,3,-1,-1,-1,33.99,-1
157,2,14,4,-1,-1,-1,26.0,-1
158,4,15,4,-1,-1,-1,34.12,-1
159,7,15,4,-1,-1,-1,37.2,-1
160,1,5,2,-1,-1,-1,9.6,-1
161,4,11,3,-1,-1,-1,24.91,-1
162,8,12,3,-1,-1,-1,36.86,-1
163,5,14,4,-1,-1,-1,33.5,-1
164,3,14,4,-1,-1,-1,30.78,-1
165,4,11,3,-1,-1,-1,24.64,-1
166,2,11,3,-1,-1,-1,19.78,-1
167,4,16,4,-1,-1,-1,34.68,-1
168,7,11,3,-1,-1,-1,35.7,-1
169,2,12,3,-1,-1,-1,22.54,-1
170,2,6,2,-1,-1,-1,14.7,-1
171,5,11,3,-1,-1,-1,28.13,-1
172,8,14,4,-1,-1,-1,41.0,-1
173,7,13,4,-1,-1,-1,39.59,-1
174,8,16,4,-1,-1,-1,40.48,-1
175,6,15,4,-1,-1,-1,34.12,-1
176,8,11,3,-1,-1,-1,39.79,-1
177,5,11,3,-1,-1,-1,31.32,-1
178,5,15,4,-1,-1,-1,35.0,-1
